unnamed: 0,abbr,fullform
882,bobba,replacement swear word
883,bobfoc,body off baywatch
884,bod,beginning of day
885,boed,book of exalted deeds 
886,bof,whatever
887,boffin,technical expert
888,bog,toilet
889,bogan,poorly educated
890,bogart,to hold onto something for oneself when it is supposed to be shared
891,bogie,cigarette
892,bogo,buy one get one
893,bogof,buy one get one free
894,bogsat,bunch of guys sitting around talking
895,boh,gunshot sound
896,boho,bohemian
897,boi,boy
898,boiler,ugly woman
899,boke,gag
900,bol,best of luck
901,bolo,be on the lookout
902,bolshy,bolshevik
903,boltop,better on lips than on paper
904,bom,bro
905,bomb,something really bad
906,bombshell,very attractive woman
907,bomm,boomm
908,bone up,learn about
909,bong,water pipe for smoking dope
910,bonkers,crazy
911,bonza,brilliant
912,boo,boyfriend
913,booger,dried nose mucus
914,boohoo,crying
915,book,cool 
916,boom,great
917,boomers,psilocybin 
918,boomm,bored out of my mind
919,booms,boomers
920,boomting,good looking girl
921,boon,someone who has been a noob for ages
922,boot,vomit
923,booze,alcoholic beverages
924,boozer,public house
925,bos,boyfriend over shoulder
926,boss,cool
927,bot,back on topic
928,botch,mess up
929,botdf,blood on the dance floor 
930,botn,back of the net
931,botoh,but on the other hand
932,bots,robots
933,botts,back on to the subject
934,botw,blog of the week
935,boul,bull
936,bout,about
937,bowl,part of a marijuana pipe
938,bows,elbows
939,boxorz,boxers
940,boyo,friend
941,bozo,incompetent person
942,bpm,beats per minute
943,bps,bits
944,bq,be quiet
945,br,best regards
946,brah,bro
947,brat,annoying
948,bravo,well done
949,brb,be right back
950,brbk,brb
951,brd,black rock depths
952,bre,sexy girl
953,bread,money
954,breda,boy
955,bredrin,friend
956,bredrins,close friends
957,breh,brethren
958,brekkie,breakfast
959,brew,beer
960,brgds,best regards
961,brh,be right here
962,brick,1 kilogram of a drug
963,bricks,drugs
964,brill,brilliant
965,britches,pants
966,bro,brother
967,broad,woman
968,brochacho,bro
969,broda,bro who is like yoda
970,brohan,bro
971,brolly,umbrella
972,brony,fan of my little pony
973,broski,bro
974,brown,heroin
975,brown bread,dead
976,brt,be right there
977,bru,brother
978,brudda,brother
979,bruh,brother
980,bruh bruh,brother
981,bruk,broken
982,bruv,mate
983,bruva,brother
984,bsa,boy scouts of america
985,bsb,backstreet boys
986,bsc,bachelor of science
987,bser,back stabber
988,bsf,but seriously folks
989,bsg,battlestar galactica 
990,bsl,british sign language
991,bsns,business
992,bsod,blue screen of death
993,bsof,big smile on face
994,bsofn,big smile on face now
995,bst,but seriously though
996,bstl,bam said the lady
997,bsts,better safe than sorry
998,bsu,boring status update
999,bt,bittorrent
1000,bt dubs,btw
1001,bta,but then again....
1002,btaim,be that as it may
1003,btb,by the by
1004,btbam,between the buried and me 
1005,btd,bored to death
1006,btdt,been there done that
1007,btdtgtts,been there done that got the t-shirt
1008,btdubs,btw
1009,bte,best time ever
1010,btgog,by the grace of god
1011,btho,beat the hell outta
1012,bthom,beats the hell outta me!
1013,btk,back to keyboard
1014,btl,between the lines
1015,btm,be there moment
1016,btn,better than nothing
1017,bto,bachman turner overdrive 
1018,btobs,be there or be square
1019,btr,better
1020,bts,be there soon
1021,btt,bump to top
1022,bttf,back to the future
1023,bttt,back to the top
1024,btu,british thermal unit
1025,btw,by the way
1026,btwitiailwu,by the way i think i am in love with you
1027,btwitiailwy,by the way i think i am in love with you
1028,bty,back to you
1029,bu,backup
1030,bu2m,been up to much
1031,bub,buddy
1032,bubs,babe
1033,bubz,pet name for bf or gf
1034,buck,fight
1035,bucks,dollars
1036,bud,marijuana
1037,buddy,friend
1038,buey,similar to dude
1039,buff,good looking
1040,bug,bother
1041,bugger off,go away
1042,bugle,cocaine
1043,buh,dismay
1044,buku,a lot of
1045,bul,man
1046,bummed,disappointed
1047,bummer,bad luck
1048,bump,bring up my post
1049,bun,smoke marijuana
1050,bun in the oven,pregnant
1051,buns,buttocks
1052,buppie,black urban professional
1053,bur,lol
1054,burd,bird
1055,bure,girl
1056,burk,idiot
1057,burma,be upstairs ready my angel
1058,burned,insulted
1059,burnt,out of it
1060,burr,cold
1061,busking,playing music in public for money
1062,busted,very ugly
1063,butch,masculine
1064,butt dial,accidentally call from a phone in your pocket
1065,butt hurt,offended
1066,butter face,girl who is good looking except for her face
1067,butterface,a woman with an attractive body but an ugly face
1068,butters,ugly
1069,butterz,ugly
1070,buzz,excitement
1071,buzz kill,ruin a special moment
1072,buzz off,go away
1073,buzzed,tipsy
1074,bv,bad vibe
1075,bvb,black veil brides 
1076,bvm,blessed virgin mary
1077,bw ,beautiful woman
1078,bwc,but who cares
1079,bwdik,but what do i know
1080,bwg,big wide grin
1081,bwl,bursting with laughter
1082,bwm,bisexual white male
1083,bwoi,friend
1084,bwt,misspelling of btw
1085,bwth,but what the hell
1086,bww,buffalo wild wings 
1087,byam,between you and me
1088,byki,before you know it
1089,bykt,but you know that
1090,byo,bring your own
1091,byob,byo beer
1092,byoc,byo computer
1093,byom,byo music
1094,byp,beg your pardon
1095,byt,bright young thing
1096,bytm,better you than me
1097,c,see
1098,c#,microsoft programming language
1099,c&c,command and conquer 
1100,c&p,copy & paste
1101,c'mon,come on
1102,c++,programming language
1103,c/d,confirm
1104,c/o,class of ...
1105,c1,affirmative
1106,c2c,consumer to consumer
1107,c4,plastic explosive
1108,c4c,comment for comment
1109,c:,very happy
1110,caac,cool as a cucumber
1111,cab,misspelling of cba
1112,cachai,do you understand
1113,cache,store for temporary computer files
1114,cactus,broken
1115,cad,computer aided design
1116,caddy,cadillac
1117,cake,kilo of cocaine
1118,cakehole,mouth
1119,caking,flirting
1120,cal,cyberathlete amateur league 
1121,cam,computer-aided manufacturing
1122,camb,come at me bro
1123,camel,brand of cigarettes
1124,camo,camoflauge
1125,camper,player who lies in wait for a target
1126,can do,it will be done
1127,candyman,drug dealer
1128,canon,original
1129,canto,cantonese
1130,cap,shoot
1131,capish,do you understand
1132,capo,captain
1133,caps,bullets
1134,captcha,completely automated public turing test to tell computers and humans apart
1135,card,amusing
1136,cardy,cardigan
1138,carpe,vomit
1139,carried,told off
1140,carty,party in a car
1141,cas,close air support
1142,casj,casual
1143,cat,cool person
1144,catfish,individual who creates a false online identity
1145,cause,because
1146,cave,give up
1147,caz,crazy in a nice way
1148,cbb,cannot be bothered
1149,cbbc,children's bbc
1150,cbc,canadian broadcasting corporation
1151,cbd,cute but dumb
1152,cbgb,country bluegrass blues
1153,cbh,child bearing hips
1154,cbi,californian bureau of investigation
1155,cblth,cannot breathe laughing too hard
1156,cbr,captive bead ring 
1157,cbs,cannot be stuffed
1158,cbt,cognitive behavioural therapy
1159,cc,credit card
1160,ccc,coricidin cough & cold
1161,ccg,collectible card game
1162,ccie,cisco certified internetwork expert
1163,ccl,could not care less
1164,ccna,cisco certified network associate
1165,ccr,creedence clearwater revival 
1166,cctv,closed-circuit television
1167,ccw,counterclockwise
1168,cd,compact disc
1169,cd-rw,compact disk rewritable
1170,cdc,cult of the dead cow
1171,cdma,code division multiple access
1172,cdn,canadian
1173,cdp,calm down please
1174,cdr,compact disc recordable
1175,cdrom,compact disk read only memory
1176,ce,casual encounters
1177,ceeb,cbb
1178,ceebs,cbb
1179,ceebz,cbb
1180,cell,cellphone
1181,celly,cellphone
1182,ceo,chief executive officer
1183,cept,except
1184,cereal,serious
1185,ces,consumer electronics show
1186,cet,central european time
1187,cewl,cool
1188,cfc,chlorofluorocarbon
1189,cfl,canadian football league
1190,cfn,ciao for now
1191,cfo,chief financial officer
1192,cfv,call for votes
1193,cg,computer graphics
1194,cga,color graphics adapter
1195,cgi,computer-generated imagery
1196,cha,yes
1197,chadrool,stupid person
1198,champ,uncool
1199,champion,good
1200,chao,goodbye
1201,chap,man
1202,chav,poorly educated
1203,chaw,chewing tobacco
1204,chea,yeah
1205,cheap skate,mean
1206,chedda,cash
1207,cheddar,money
1208,cheerio,goodbye
1209,cheers,thanks
1210,cheese,drug
1211,cheese,drug
1212,cheesy,corny
1213,cheez,cheese
1214,chela,beer
1215,chem,chemistry
1216,chevy,chevrolet
1217,chi,chicago life force
1218,chib,stab
1219,chick,girl
1220,chicken,kilogram of cocaine
1221,chilaxing,chilling and relaxing
1222,chill,relax
1223,chill out,chill
1224,chillax,chill and relax
